grapheme	phoneme
หวด	h ua̯ t̚ ˨˩
ครึกครื้น	kʰ rɯ k̚ ˦˥ . kʰ rɯː n ˦˥
สินสอด	s i n ˩˩˦ . s ɔː t̚ ˨˩
เจตนารมณ์	t͡ɕ eː t̚ ˨˩ . t a ˨˩ . n aː ˧ . r o m ˧
เปลี่ยนแปลง	p l ia̯ n ˨˩ . p l ɛː ŋ ˧
ธิดา	tʰ i ˦˥ . d aː ˧
ข้น	kʰ o n ˥˩
กษีระ	k a ˨˩ . s iː ˩˩˦ . r aʔ ˦˥
ปีก	p iː k̚ ˨˩
นอง	n ɔː ŋ ˧
บึง	b ɯ ŋ ˧
ตะพด	t a ˨˩ . pʰ o t̚ ˦˥
ตีปลาหน้าไซ	t iː ˧ . p l aː ˧ . n aː ˥˩ . s aj ˧
ดอกเบี้ย	d ɔː k̚ ˨˩ . b ia̯ ˥˩
ถือหาง	tʰ ɯː ˩˩˦ . h aː ŋ ˩˩˦
แค้ยักษ์	kʰ ɛː ˦˥ . j a k̚ ˦˥
ลุยเซียนา	l uj ˧ . s ia̯ ˧ . n aː ˥˩
ฤดูฝน	rɯ ˦˥ . d uː ˧ . f o n ˩˩˦
นักกีฬา	n a k̚ ˦˥ . k iː ˧ . l aː ˧
เศรษฐกิจ	s eː t̚ ˨˩ . tʰ a ˧ . k i t̚ ˨˩
ใจกว้าง	t͡ɕ aj ˧ . k w aː ŋ ˥˩
พระองค์	pʰ r a ˦˥ . ʔ o ŋ ˧
ความวิบัติ	kʰ w aː m ˧ . w i ˦˥ . b a t̚ ˨˩
ย้ำ	j a m ˦˥
ใบอนุญาตขับขี่	b aj ˧ . ʔ a ˨˩ . n u ˦˥ . j aː t̚ ˥˩ . kʰ a p̚ ˨˩ . kʰ iː ˨˩
ลาวลุ่ม	l aːw ˧ . l u m ˥˩
มาด	m aː t̚ ˥˩
วิเศษณานุประโยค	w i ˦˥ . s eː ˩˩˦ . s a ˨˩ . n aː ˧ . n u ˦˥ . p r a ˨˩ . j oː k̚ ˨˩
การประท้วง	k aː n ˧ . p r a ˨˩ . tʰ ua̯ ŋ ˦˥
หน้าซีด	n aː ˥˩ . s iː t̚ ˥˩
ชักใย	t͡ɕʰ a k̚ ˦˥ . j aj ˧
อัปปาง	ʔ a p̚ ˨˩ . p aː ŋ ˧
ขุด	kʰ u t̚ ˨˩
ตรงข้าม	t r o ŋ ˧ . kʰ aː m ˥˩
ลูกกระเดือก	l uː k̚ ˥˩ . k r a ˨˩ . d ɯa̯ k̚ ˨˩
คิรี	kʰ i ˦˥ . r iː ˧
ทิด	tʰ i t̚ ˦˥
คอมพิวเตอร์	kʰ ɔ m ˧ . pʰ iw ˦˥ . t ɤː ˥˩
ก้าว	k aːw ˥˩
ห้าสิบ	h aː ˥˩ . s i p̚ ˨˩
เหี้ยมโหด	h ia̯ m ˥˩ . h oː t̚ ˨˩
สัญญา	s a n ˩˩˦ . j aː ˧
ทำลาย	tʰ a m ˧ . l aːj ˧
ฅ	kʰ ɔː ˧ . kʰ o n ˧
ทวิราชาธิปไตย	tʰ a ˦˥ . w i ˦˥ . r aː ˧ . t͡ɕʰ aː ˧ . tʰ i p̚ ˦˥ . p a ˨˩ . t aj ˧
โหร	h oː n ˩˩˦
หุ่นเชิด	h u n ˨˩ . t͡ɕʰ ɤː t̚ ˥˩
ตรีโกณมิติ	t r iː ˧ . k oː n ˧ . m i ˦˥ . t i ʔ ˨˩
ปล่อยของ	p l ɔj ˨˩ . kʰ ɔː ŋ ˩˩˦
ระแทะ	r a ˦˥ . tʰ ɛʔ ˦˥
คีชีเนา	kʰ iː ˧ . t͡ɕʰ iː ˧ . n aw ˧
เช่า	t͡ɕʰ aw ˥˩
แองโกลา	ʔ ɛ ŋ ˧ . k oː ˧ . l aː ˥˩
ร้องเรียน	r ɔː ŋ ˦˥ . r ia̯ n ˧
เสฉวน	s eː ˩˩˦ . t͡ɕʰ ua̯ n ˩˩˦
เซฟ	s eː f ˦˥
เกรวี	k r eː ˧ . w iː ˧
ปลาร้า	p l aː ˧ . r aː ˦˥
ไก่ป่า	k aj ˨˩ . p aː ˨˩
ลูกเสือลูกตะเข้	l uː k̚ ˥˩ . s ɯa̯ ˩˩˦ . l uː k̚ ˥˩ . t a ˨˩ . kʰ eː ˥˩
อัด	ʔ a t̚ ˨˩
ความเกียจคร้าน	kʰ w aː m ˧ . k ia̯ t̚ ˨˩ . kʰ r aː n ˦˥
ลูทีเทียม	l uː ˧ . tʰ iː ˧ . tʰ ia̯ m ˥˩
หลอม	l ɔː m ˩˩˦
เฟือง	f ɯa̯ ŋ ˧
ช้างตายทั้งตัวเอาใบบัวมาปิด	t͡ɕʰ aː ŋ ˦˥ . t aːj ˧ . tʰ a ŋ ˦˥ . t ua̯ ˧ . ʔ aw ˧ . b aj ˧ . b ua̯ ˧ . m aː ˧ . p i t̚ ˨˩
ตราสารเปลี่ยนมือ	t r aː ˧ . s aː n ˩˩˦ . p l ia̯ n ˨˩ . m ɯː ˧
งา	ŋ aː ˧
มหัจฉริยะ	m a ˦˥ . h a t̚ ˨˩ . t͡ɕʰ a ˨˩ . r i ˦˥ . j aʔ ˦˥
ม้ามืด	m aː ˦˥ . m ɯː t̚ ˥˩
ตีหน้า	t iː ˧ . n aː ˥˩
ปักเป้า	p a k̚ ˦˥ . k a ˨˩ . p aw ˥˩
มีดพับสวิส	m iː t̚ ˥˩ . pʰ a p̚ ˦˥ . s a ˨˩ . w i s ˦˥
มหาเศรษฐี	m a ˦˥ . h aː ˩˩˦ . s eː t̚ ˨˩ . tʰ iː ˩˩˦
กริยาวิเศษณ์	k r i ˨˩ . j aː ˧ . w i ˦˥ . s eː t̚ ˨˩
การประทาน	k aː n ˧ . p r a ˨˩ . tʰ aː n ˧
อนิจกรรม	ʔ a ˨˩ . n i t̚ ˦˥ . t͡ɕ a ˨˩ . k a m ˧
เครื่องยนต์	kʰ rɯ a̯ ŋ ˥˩ . j o n ˧
ภูตผี	pʰ uː t̚ ˥˩ . pʰ iː ˩˩˦
เคลียร์	kʰ l ia̯ ˧
อบอุ่น	ʔ o p̚ ˨˩ . ʔ u n ˨˩
แรงดันไฟฟ้า	r ɛː ŋ ˧ . d a n ˧ . f aj ˧ . f aː ˦˥
กระบี่	k r a ˨˩ . b iː ˨˩
การเข้าเมือง	k aː n ˧ . kʰ aw ˥˩ . m ɯa̯ ŋ ˧
อินทร์	ʔ i n ˧
มวน	m ua̯ n ˧
เขย	kʰ ɤːj ˩˩˦
ปืนกล	p ɯː n ˧ . k o n ˧
ทูน่า	tʰ uː ˧ . n aː ˥˩
พาฬมฤค	pʰ aː ˧ . l a ˦˥ . m a ˦˥ . rɯ k̚ ˦˥
มนุษยศาสตร์	m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ . j a ˦˥ . s aː t̚ ˨˩
ขาก	kʰ aː k̚ ˨˩
ดาวเคราะห์นอกระบบ	d aːw ˧ . kʰ r ɔʔ ˦˥ . n ɔː k̚ ˥˩ . r a ˦˥ . b o p̚ ˨˩
มารดา	m aː n ˧ . d aː ˧
ผลักดัน	pʰ l a k̚ ˨˩ . d a n ˧
กัก	k a k̚ ˨˩
ธารายนต์	tʰ aː ˧ . r aː ˧ . j o n ˧
หมาข้างถนน	m aː ˩˩˦ . kʰ aː ŋ ˥˩ . tʰ a ˨˩ . n o n ˩˩˦
ความใจดำ	kʰ w aː m ˧ . t͡ɕ aj ˧ . d a m ˧
เท่ากัน	tʰ aw ˥˩ . k a n ˧
กษาปณ์	k a ˨˩ . s aː p̚ ˨˩
การพระราชทาน	k aː n ˧ . pʰ r a ˦˥ . r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . tʰ aː n ˧
เฮลซิงกิ	h e l ˧ . s i ŋ ˧ . k i ʔ ˨˩
พุ่ม	pʰ u m ˥˩
น้ำมะนาว	n a m ˦˥ . m a ˦˥ . n aːw ˧
เผ็ดร้อน	pʰ e t̚ ˨˩ . r ɔː n ˦˥
อภัย	ʔ a ˨˩ . pʰ aj ˧
รายจ่าย	r aːj ˧ . t͡ɕ aːj ˨˩
หมอนข้าง	m ɔː n ˩˩˦ . kʰ aː ŋ ˥˩
ฆ้อน	kʰ ɔː n ˦˥
ก็แล้วกัน	k ɔʔ ˥˩ . l ɛːw ˦˥ . k a n ˧
แพร่พันธุ์	pʰ r ɛː ˥˩ . pʰ a n ˧
พฤษภา	pʰ rɯ t̚ ˦˥ . s a ˨˩ . pʰ aː ˧
ฉัน	t͡ɕʰ a n ˩˩˦
อีเต้อ	ʔ iː ˧ . t ɤː ˥˩
มึนเชิน	m ɯ n ˧ . t͡ɕʰ ɤ n ˧
กษีร	k a ˨˩ . s iː ˩˩˦ . r a ˦˥ .
มโนธรรม	m a ˦˥ . n oː ˧ . tʰ a m ˧
สาหร่ายสีเขียวแกมน้ำเงิน	s aː ˩˩˦ . r aːj ˨˩ . s iː ˩˩˦ . kʰ ia̯w ˩˩˦ . k ɛː m ˧ . n a m ˦˥ . ŋ ɤ n ˧
ปากคนยาวกว่าปากกา	p aː k̚ ˨˩ . kʰ o n ˧ . j aːw ˧ . k w aː ˨˩ . p aː k̚ ˨˩ . k aː ˧
ทั่วไป	tʰ ua̯ ˥˩ . p aj ˧
ลิ่มนิ้ว	l i m ˥˩ . n iw ˦˥
วิโรธ	w i ˦˥ . r oː t̚ ˥˩
โดนัต	d oː ˧ . n a t̚ ˦˥
ละเมิดอำนาจศาล	l a ˦˥ . m ɤː t̚ ˥˩ . ʔ a m ˧ . n aː t̚ ˥˩ . s aː n ˩˩˦
จอ	t͡ɕ ɔː ˧
ศิลาแลง	s i ˨˩ . l aː ˧ . l ɛː ŋ ˧
ผู้ลี้ภัย	pʰ uː ˥˩ . l iː ˦˥ . pʰ aj ˧
ชาตรูป	t͡ɕʰ aː ˧ . t a ˨˩ . r uː p̚ ˥˩
ไอติม	ʔ aj ˧ . t i m ˧
ดรุ	d a ˨˩ . r u ʔ ˦˥
นักเทนนิส	n a k̚ ˦˥ . tʰ e n ˧ . n i t̚ ˦˥
สบถ	s a ˨˩ . b o t̚ ˨˩
นัดพร้อม	n a t̚ ˦˥ . pʰ r ɔː m ˦˥
แทงก์	tʰ ɛ ŋ ˦˥
เข้าตา	kʰ aw ˥˩ . t aː ˧
คุ๊กกี้	kʰ u k̚ ˦˥ . k iː ˥˩
วิลาศ	w i ˦˥ . l aː t̚ ˥˩
โหล	l oː ˩˩˦
ไพเราะ	pʰ aj ˧ . r ɔʔ ˦˥
กี้	k iː ˥˩
ยอดไม้	j ɔː t̚ ˥˩ . m aj ˦˥
ใยอาหาร	j aj ˧ . ʔ aː ˧ . h aː n ˩˩˦
กะโถน	k a ˨˩ . tʰ oː n ˩˩˦
เป็นแผล	p e n ˧ . pʰ l ɛː ˩˩˦
หอฉัน	h ɔː ˩˩˦ . t͡ɕʰ a n ˩˩˦
ลอกคราบ	l ɔː k̚ ˥˩ . kʰ r aː p̚ ˥˩
คืบหน้า	kʰ ɯː p̚ ˥˩ . n aː ˥˩
ข้อห้าม	kʰ ɔː ˥˩ . h aː m ˥˩
โก๋	k oː ˩˩˦
ฆาตกร	kʰ aː t̚ ˥˩ . t a ˨˩ . k ɔː n ˧
เส้นทแยงมุม	s e n ˥˩ . tʰ a ˦˥ . j ɛː ŋ ˧ . m u m ˧
ขจร	kʰ a ˨˩ . t͡ɕ ɔː n ˧
กล้ามเนื้อโครงร่าง	k l aː m ˥˩ . n ɯa̯ ˦˥ . kʰ r oː ŋ ˧ . r aː ŋ ˥˩
สำเภา	s a m ˩˩˦ . pʰ aw ˧
ซาเกร็บ	s aː ˧ . k r e p̚ ˦˥
ความสยอง	kʰ w aː m ˧ . s a ˨˩ . j ɔː ŋ ˩˩˦
พรรค	pʰ a k̚ ˦˥ . kʰ a ˦˥ .
ส่งไม้ต่อ	s o ŋ ˨˩ . m aːj ˦˥ . t ɔː ˨˩
มื้อกลางวัน	m ɯː ˦˥ . k l aː ŋ ˧ . w a n ˧
นิวต์	n iw ˦˥
คูเรียม	kʰ uː ˧ . r ia̯ m ˥˩
มัสตาร์ด	m a s ˦˥ . t aː t̚ ˨˩
ประสูติ	p r a ˨˩ . s uː t̚ ˨˩
เนื้อไม้	n ɯa̯ ˦˥ . m aːj ˦˥
แทลเลียม	tʰ ɛ l ˧ . l ia̯ m ˥˩
ไฟนอล	f aj ˧ . n ɔ n ˥˩
สไตล์	s a ˨˩ . t aj ˧
ปฐมกรรม	p a ˨˩ . tʰ o m ˩˩˦ . m a ˦˥ . k a m ˧
การค้ามนุษย์	k aː n ˧ . kʰ aː ˦˥ . m a ˦˥ . n u t̚ ˦˥
อ้างว้าง	ʔ aː ŋ ˥˩ . w aː ŋ ˦˥
ออสโตรเอเชียติก	ʔ ɔː s ˦˥ . t r oː ˧ . ʔ eː ˧ . t͡ɕʰ ia̯ ˧ . t i k̚ ˨˩
อุปกรณ์	ʔ u p̚ ˨˩ . p a ˨˩ . k ɔː n ˧
พฤฒิบาศ	pʰ rɯ t̚ ˦˥ . tʰ i ˦˥ . b aː t̚ ˨˩
โสม	s oː m ˩˩˦ . m a ˦˥ .
กระเจี๊ยบมอญ	k r a ˨˩ . t͡ɕ ia̯ p̚ ˦˥ . m ɔː n ˧
หมูแดง	m uː ˩˩˦ . d ɛː ŋ ˧
สัญญามีชื่อ	s a n ˩˩˦ . j aː ˧ . m iː ˧ . t͡ɕʰ ɯː ˥˩
ฌ	t͡ɕʰ ɔː ˧
สงสาร	s o ŋ ˩˩˦ . s aː n ˩˩˦
พยานบุคคล	pʰ a ˦˥ . j aː n ˧ . b u k̚ ˨˩ . kʰ o n ˧
หน้าด้าน	n aː ˥˩ . d aː n ˥˩
สมภารกินไก่วัด	s o m ˩˩˦ . pʰ aː n ˧ . k i n ˧ . k aj ˨˩ . w a t̚ ˦˥
หนี้	n iː ˥˩
เล่ม	l e m ˥˩
เซเทอร์	s eː ˧ . tʰ ɤː ˥˩
ฟ้าผ่า	f aː ˦˥ . pʰ aː ˨˩
เครา	kʰ r aw ˧
เสื้อกันฝน	s ɯa̯ ˥˩ . k a n ˧ . f o n ˩˩˦
กลางคืน	k l aː ŋ ˧ . kʰ ɯː n ˧
ช้อนโต๊ะ	t͡ɕʰ ɔː n ˦˥ . t oʔ ˦˥
สมณ	s a ˨˩ . m a ˦˥ . n a ˦˥ .
ลาวสูง	l aːw ˧ . s uː ŋ ˩˩˦
ปัน	p a n
สมัครใจ	s a ˨˩ . m a k̚ ˨˩ . t͡ɕ aj ˧
พิบัติ	pʰ i ˦˥ . b a t̚ ˨˩
เพศ	pʰ eː t̚ ˥˩
นางแบบ	n aː ŋ ˧ . b ɛː p̚ ˨˩
การบ้าน	k aː n ˧ . b aː n ˥˩
กุมารแพทย์	k u ˨˩ . m aː ˧ . r a ˦˥ . pʰ ɛː t̚ ˥˩
กระดานถีบ	k r a ˨˩ . d aː n ˧ . tʰ iː p̚ ˨˩
เครื่องประดับ	kʰ rɯ a̯ ŋ ˥˩ . p r a ˨˩ . d a p̚ ˨˩
ล็อก	l ɔ k̚ ˦˥
คว่ำบาตร	kʰ w a m ˥˩ . b aː t̚ ˨˩
แฟรนเซียม	f r ɛ n ˧ . s ia̯ m ˥˩
เซิร์ฟเวอร์	s ɤː f ˦˥ . w ɤː ˥˩
คงคา	kʰ o ŋ ˧ . kʰ aː ˧
ร่มเย็น	r o m ˥˩ . j e n ˧
หม้อน้ำ	m ɔː ˥˩ . n aː m ˦˥
ซูรินาม	s uː ˧ . r i ˦˥ . n aː m ˧
โหราธิบดี	h oː ˩˩˦ . r aː ˧ . tʰ i p̚ ˦˥ . b ɔː ˧ . d iː ˧
อัตลักษณ์	ʔ a t̚ ˨˩ . t a ˨˩ . l a k̚ ˦˥
ฉันทลักษณ์	t͡ɕʰ a n ˩˩˦ . tʰ a ˦˥ . l a k̚ ˦˥
โคโซโว	kʰ oː ˧ . s oː ˧ . w oː ˧
พยัคฆ์	pʰ a ˦˥ . j a k̚ ˦˥
เรือจ้าง	rɯ a̯ ˧ . t͡ɕ aː ŋ ˥˩
ลบล้าง	l o p̚ ˦˥ . l aː ŋ ˦˥
ใครขายไข่ไก่	kʰ r aj ˧ . kʰ aːj ˩˩˦ . kʰ aj ˨˩ . k aj ˨˩
รัฐมนตรี	r a t̚ ˦˥ . tʰ a ˧ . m o n ˧ . t r iː ˧
เศษเล็บ	s eː t̚ ˨˩ . l e p̚ ˦˥
ซาปั๊ว	s aː ˧ . p ua̯ ˦˥
นักข่าว	n a k̚ ˦˥ . kʰ aːw ˨˩
ค้นคว้า	kʰ o n ˦˥ . kʰ w aː ˦˥
ห้าเหลี่ยม	h aː ˥˩ . l ia̯ m ˨˩
พรหมแดน	pʰ r o m ˧ . d ɛː n ˧
ปากกาลูกลื่น	p aː k̚ ˨˩ . k aː ˧ . l uː k̚ ˥˩ . lɯː n ˥˩
ศร	s ɔː n ˩˩˦
ริ้ว	r iw ˦˥
คนเดือนตุลา	kʰ o n ˧ . d ɯa̯ n ˧ . t u ˨˩ . l aː ˧
ยุติ	j u t̚ ˦˥ . t i ʔ ˨˩
สางห่า	s aː ŋ ˩˩˦ . h aː ˨˩
อำเภอ	ʔ a m ˧ . pʰ ɤː ˧
เดือดเนื้อร้อนใจ	d ɯa̯ t̚ ˨˩ . n ɯa̯ ˦˥ . r ɔː n ˦˥ . t͡ɕ aj ˧
มลังเมลือง	m a ˦˥ . l a ŋ ˧ . m a ˦˥ . lɯ a̯ ŋ ˧
ตื้นเขิน	t ɯː n ˥˩ . kʰ ɤː n ˩˩˦
โอนิงิริ	ʔ oː ˧ . n i ˦˥ . ŋ i ˦˥ . r i ʔ ˦˥
อาชกาบัต	ʔ aː t͡ɕʰ ˨˩ . k aː ˧ . b a t̚ ˨˩
เทควันโด	tʰ eː ˧ . kʰ w a n ˧ . d oː ˥˩
กระดานลื่น	k r a ˨˩ . d aː n ˧ . lɯː n ˥˩
เริม	r ɤː m ˧
ทัพชัย	tʰ a p̚ ˦˥ . t͡ɕʰ aj ˧
น่ารัก	n aː ˥˩ . r a k̚ ˦˥
น้ำมันพืช	n a m ˦˥ . m a n ˧ . pʰ ɯː t̚ ˥˩
กาฐมาณฑุ	k aː t̚ ˨˩ . m aː n ˧ . d u ʔ ˨˩
ป๊อปคอร์น	p ɔ p̚ ˦˥ . kʰ ɔː n ˧
กาย	k aːj ˧ . j a ˦˥ .
หัตถินี	h a t̚ ˨˩ . tʰ i ˨˩ . n iː ˧
ชิงชัง	t͡ɕʰ i ŋ ˧ . t͡ɕʰ a ŋ ˧
การฆ่าตัดตอน	k aː n ˧ . kʰ aː ˥˩ . t a t̚ ˨˩ . t ɔː n ˧
เหยือก	j ɯa̯ k̚ ˨˩
บุพบท	b u p̚ ˨˩ . pʰ a ˦˥ . b o t̚ ˨˩
รีโมตคอนโทรล	r iː ˧ . m oː t̚ ˨˩ . kʰ ɔ n ˧ . tʰ r oː n ˧
ร่วง	r ua̯ ŋ ˥˩
บันทึก	b a n ˧ . tʰ ɯ k̚ ˦˥
คริสตสมภพ	kʰ r i t̚ ˦˥ . t a ˨˩ . s o m ˩˩˦ . pʰ o p̚ ˦˥
การอุทธรณ์	k aː n ˧ . ʔ u t̚ ˨˩ . tʰ ɔː n ˧
บีเทลจุส	b iː ˧ . tʰ e l ˧ . t͡ɕ uː s ˦˥
ความลึกลับ	kʰ w aː m ˧ . lɯ k̚ ˦˥ . l a p̚ ˦˥
การหลับนอน	k aː n ˧ . l a p̚ ˨˩ . n ɔː n ˧
ไม้ตรี	m aj ˦˥ . t r iː ˧
หมดลม	m o t̚ ˨˩ . l o m ˧
ลิ้ม	l i m ˦˥
เงรุลมุด	ŋ eː ˧ . r u l ˧ . m u t̚ ˦˥
บอสเนียและเฮอร์เซโกวีนา	b ɔː s ˦˥ . n ia̯ ˧ . l ɛʔ ˦˥ . h ɤː ˧ . s eː ˧ . k oː ˧ . w iː ˧ . n aː ˥˩
การทหาร	k aː n ˧ . tʰ a ˦˥ . h aː n ˩˩˦
หมายเลข	m aːj ˩˩˦ . l eː k̚ ˥˩
เกิน	k ɤː n ˧
รักร่วมเพศ	r a k̚ ˦˥ . r ua̯ m ˥˩ . pʰ eː t̚ ˥˩
ความเร่ง	kʰ w aː m ˧ . r e ŋ ˥˩
กวัก	k w a k̚ ˨˩
แบก	b ɛː k̚ ˨˩
ของกลาง	kʰ ɔː ŋ ˩˩˦ . k l aː ŋ ˧
โรงบาล	r oː ŋ ˧ . b aː n ˧
ฮากกา	h aː k̚ ˥˩ . k aː ˧
ความจำเป็น	kʰ w aː m ˧ . t͡ɕ a m ˧ . p e n ˧
ยูทูป	j uː ˧ . tʰ uː p̚ ˦˥
ตัวอ่อน	t ua̯ ˧ . ʔ ɔː n ˨˩
หนุ่มแน่น	n u m ˨˩ . n ɛ n ˥˩
ตรวจสอบ	t r ua̯ t̚ ˨˩ . s ɔː p̚ ˨˩
เก้าอี้	k aw ˥˩ . ʔ iː ˥˩
เกาหลีใต้	k aw ˧ . l iː ˩˩˦ . t aːj ˥˩
โจรกรรม	t͡ɕ oː n ˧ . r a ˦˥ . k a m ˧
รมต.	r ɔː ˧ . m ɔː ˧ . t ɔː ˧
สมุทรสงคราม	s a ˨˩ . m u t̚ ˨˩ . s o ŋ ˩˩˦ . kʰ r aː m ˧
เวลลิงตัน	w eː l ˧ . l i ŋ ˧ . t a n ˥˩
อะเมริเซียม	ʔ a ˨˩ . m eː ˧ . r i ˦˥ . s ia̯ m ˥˩
ทิวากร	tʰ i ˦˥ . w aː ˧ . k ɔː n ˧
ที่สิบสาม	tʰ iː ˥˩ . s i p̚ ˨˩ . s aː m ˩˩˦
ราหู	r aː ˧ . h uː ˩˩˦
โหราธิบดี	h oː ˩˩˦ . r aː ˧ . tʰ i ˦˥ . b ɔː ˧ . d iː ˧
วัสดุ	w a t̚ ˦˥ . s a ˨˩ . d u ʔ ˨˩
สุกี้	s u ˨˩ . k iː ˥˩
ลุล่วง	l u ˦˥ . l ua̯ ŋ ˥˩
ศรีชยวรรธนปุระโกฏเฏ	s iː ˩˩˦ . t͡ɕʰ a ˦˥ . j a ˦˥ . w a t̚ ˦˥ . tʰ a ˦˥ . n a ˦˥ . p u ˨˩ . r a ˦˥ . k oː t̚ ˨˩ . t eː ˧
นักกอล์ฟ	n a k̚ ˦˥ . k ɔː p̚ ˦˥
โง่เขลา	ŋ oː ˥˩ . kʰ l aw ˩˩˦
ลิตร	l i t̚ ˦˥
รำชั่วโทษพาทย์	r a m ˧ . t͡ɕʰ ua̯ ˥˩ . tʰ oː t̚ ˥˩ . pʰ aː t̚ ˥˩
ศาล	s aː n ˩˩˦
เขี้ยวหนุมาน	kʰ ia̯w ˥˩ . h a ˨˩ . n u ˦˥ . m aː n ˧
การบุกรุก	k aː n ˧ . b u k̚ ˨˩ . r u k̚ ˦˥
จขกท.	t͡ɕ ɔː ˧ . kʰ ɔː ˩˩˦ . k ɔː ˧ . tʰ ɔː ˧
สะอาด	s a ˨˩ . ʔ aː t̚ ˨˩
คร่า	kʰ r aː ˥˩
มูตร	m uː t̚ ˥˩
นักชีววิทยา	n a k̚ ˦˥ . t͡ɕʰ iː ˧ . w a ˦˥ . w i t̚ ˦˥ . tʰ a ˦˥ . j aː ˧
ความเป็นส่วนตัว	kʰ w aː m ˧ . p e n ˧ . s ua̯ n ˨˩ . t ua̯ ˧
ตลาด	t a ˨˩ . l aː t̚ ˨˩
ผลิต	pʰ a ˨˩ . l i t̚ ˨˩
เชื้อโรค	t͡ɕʰ ɯa̯ ˦˥ . r oː k̚ ˥˩
งัด	ŋ a t̚ ˦˥
ฉะนั้น	t͡ɕʰ a ˨˩ . n a n ˦˥
คั้น	kʰ a n ˦˥
หลังคา	l a ŋ ˩˩˦ . kʰ aː ˧
ตุลาการ	t u ˨˩ . l aː ˧ . k aː n ˧
ฝ่อ	f ɔː ˨˩
นักประท้วง	n a k̚ ˦˥ . p r a ˨˩ . tʰ ua̯ ŋ ˦˥
แอ่น	ʔ ɛ n ˨˩
ดังโงะ	d a ŋ ˧ . ŋ oʔ ˨˩
หำ	h a m ˩˩˦
เรดาร์	r eː ˧ . d aː ˥˩
เสียดาย	s ia̯ ˩˩˦ . d aːj ˧
เล่นแร่แปรธาตุ	l e n ˥˩ . r ɛː ˥˩ . p r ɛː ˧ . tʰ aː t̚ ˥˩
ปี	p iː ˧
การซัดทอด	k aː n ˧ . s a t̚ ˦˥ . tʰ ɔː t̚ ˥˩
ซอฟต์แวร์	s ɔː p̚ ˦˥ . w ɛː ˧
เก่ง	k e ŋ ˨˩
อุตรภัทรบท	ʔ u t̚ ˨˩ . t a ˨˩ . r a ˦˥ . pʰ a t̚ ˦˥ . tʰ r a ˦˥ . b o t̚ ˨˩
กว่า	k w aː ˨˩
โออิชิ	ʔ oː ˧ . ʔ i ˨˩ . t͡ɕʰ i ʔ ˦˥
หนังหุ้มปลาย	n a ŋ ˩˩˦ . h u m ˥˩ . p l aːj ˧
ผลัด	pʰ l a t̚ ˨˩
สหราชอาณาจักรเกรตบริเตนและนอร์เทิร์นไอร์แลนด์	s a ˨˩ . h a ˨˩ . r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . ʔ aː ˧ . n aː ˧ . t͡ɕ a k̚ ˨˩ . k r eː t̚ ˦˥ . b r i ˨˩ . t eː n ˧ . l ɛʔ ˦˥ . n ɔ t̚ ˦˥ . tʰ ɤ n ˥˩ . ʔ aj ˧ . l ɛː n ˧
คามวาสี	kʰ aː ˧ . m a ˦˥ . w aː ˧ . s iː ˩˩˦
ตังถั่งเช่า	t a ŋ ˧ . tʰ a ŋ ˨˩ . t͡ɕʰ aw ˥˩
มุฮัมมัด	m u ˦˥ . h a m ˧ . m a t̚ ˨˩
หนุนหลัง	n u n ˩˩˦ . l a ŋ ˩˩˦
อาถรรพณ์	ʔ aː ˧ . tʰ a n ˩˩˦
อิสลามาบาด	ʔ i ˨˩ . s a ˨˩ . l aː ˧ . m aː ˧ . b aː t̚ ˨˩
บุก	b u k̚ ˨˩
หิมาลัย	h i ˨˩ . m aː ˧ . l aj ˧
จังไร	t͡ɕ a ŋ ˧ . r aj ˧
ต.อ.น.	t ɔː ˧ . ʔ ɔː ˧ . n ɔː ˧
เป็นลม	p e n ˧ . l o m ˧
สัตวแพทย์	s a t̚ ˨˩ . t a ˨˩ . w a ˦˥ . pʰ ɛː t̚ ˥˩
จีรัง	t͡ɕ iː ˧ . r a ŋ ˧
ธรรมะธรรมโม	tʰ a m ˧ . m a ˦˥ . tʰ a m ˧ . m oː ˧
สะเดาะ	s a ˨˩ . d ɔʔ ˨˩
วัยรุ่น	w aj ˧ . r u n ˥˩
ลาวหล่ม	l aːw ˧ . l o m ˨˩
สวะสังคม	s a ˨˩ . w a ˨˩ . s a ŋ ˩˩˦ . kʰ o m ˧
การเรียน	k aː n ˧ . r ia̯ n ˧
นักธุรกิจ	n a k̚ ˦˥ . tʰ u ˦˥ . r a ˦˥ . k i t̚ ˨˩
ผู้ไท	pʰ uː ˥˩ . tʰ aj ˧
ช่ะ	t͡ɕʰ aʔ ˥˩
อัตตาธิปไตย	ʔ a t̚ ˨˩ . t aː ˧ . tʰ i ˦˥ . p a ˨˩ . t aj ˧
ปลา	p l aː ˧
อายุความ	ʔ aː ˧ . j u ˦˥ . kʰ w aː m ˧
โป๊ป	p oː p̚ ˦˥
ญาดา	j aː ˧ . d aː ˧
อยากจะ	j aː k̚ ˨˩ . t͡ɕ aʔ ˨˩
สร้างสรรค์	s aː ŋ ˥˩ . s a n ˩˩˦
ไก่ฟ้า	k aj ˨˩ . f aː ˦˥
เงินเดือน	ŋ ɤ n ˧ . d ɯa̯ n ˧
